,bhk,type,area,region,status,age,price_in_lakh,price_per_sqft
2,2,Apartment,610,Borivali West,Under Construction,New,173.0,28360.655737704918
4,2,Apartment,659,Mira Road East,Under Construction,New,94.11,14280.72837632777
13,2,Apartment,605,Jogeshwari West,Under Construction,New,155.0,25619.834710743802
14,1,Apartment,557,Vasai,Under Construction,New,58.5,10502.692998204668
15,2,Apartment,635,Kalamboli,Under Construction,New,83.0,13070.866141732284
16,1,Apartment,450,Powai,Under Construction,New,139.0,30888.88888888889
17,3,Apartment,1259,Ghansoli,Ready to move,New,280.0,22239.872915011914
18,2,Apartment,555,Thane West,Under Construction,New,142.0,25585.585585585584
20,2,Apartment,582,Vikhroli,Under Construction,New,149.0,25601.374570446736
22,1,Apartment,320,Chembur,Under Construction,New,69.9,21843.750000000004
23,1,Apartment,396,Thane West,Under Construction,New,42.99,10856.060606060606
24,2,Apartment,638,Airoli,Under Construction,New,126.0,19749.21630094044
27,2,Apartment,555,Borivali East,Under Construction,New,131.0,23603.603603603602
32,4,Apartment,1874,Kharghar,Under Construction,New,270.0,14407.684098185699
33,1,Apartment,450,Ulwe,Under Construction,New,54.99,12220.0
34,3,Apartment,859,Panvel,Under Construction,New,137.0,15948.777648428406
35,2,Apartment,720,Thane West,Under Construction,New,131.0,18194.444444444445
36,1,Apartment,404,Kamothe,Under Construction,New,58.0,14356.435643564357
37,2,Apartment,604,Jogeshwari East,Under Construction,New,144.0,23841.059602649006
38,3,Apartment,1116,Mulund West,Under Construction,New,285.0,25537.63440860215
40,3,Apartment,902,Goregaon West,Under Construction,New,259.0,28713.968957871395
44,2,Apartment,560,Mulund West,Under Construction,New,132.0,23571.428571428572
45,1,Apartment,448,Ghatkopar East,Under Construction,New,134.0,29910.714285714286
51,2,Apartment,610,Borivali West,Under Construction,New,173.0,28360.655737704918
53,2,Apartment,659,Mira Road East,Under Construction,New,94.11,14280.72837632777
62,2,Apartment,605,Jogeshwari West,Under Construction,New,155.0,25619.834710743802
63,1,Apartment,477,Vasai,Under Construction,New,51.0,10691.82389937107
64,2,Apartment,635,Kalamboli,Under Construction,New,83.0,13070.866141732284
65,1,Apartment,450,Powai,Under Construction,New,139.0,30888.88888888889
66,3,Apartment,1259,Ghansoli,Ready to move,New,280.0,22239.872915011914
67,2,Apartment,515,Thane West,Under Construction,New,124.0,24077.66990291262
69,2,Apartment,582,Vikhroli,Under Construction,New,149.0,25601.374570446736
71,1,Apartment,320,Chembur,Under Construction,New,69.9,21843.750000000004
72,1,Apartment,396,Thane West,Under Construction,New,42.99,10856.060606060606
73,1,Apartment,465,Airoli,Under Construction,New,90.0,19354.83870967742
76,2,Apartment,555,Borivali East,Under Construction,New,131.0,23603.603603603602
82,2,Apartment,709,Panvel,Under Construction,New,113.99999999999999,16078.984485190407
83,4,Apartment,1300,Thane West,Under Construction,New,254.0,19538.46153846154
84,2,Apartment,628,Kamothe,Under Construction,New,90.0,14331.210191082802
85,2,Apartment,587,Jogeshwari East,Under Construction,New,140.0,23850.085178875637
